EMPIRICAL SAMPLE COUNT n VARIATION
==================================

n = 1
-----
Step	NTK metric	Parameter perturbation L2 norm
8	0.013749400741667195	0.013635373692720099
9	0.011955040268400774	0.011856109089871468
10	0.01084710481103171	0.010756775572958907
11	0.00907590482766224	0.0090035517328747646
12	0.008345529510435129	0.0082793325460370614
13	0.0067913954271059673	0.0067415324884178797
14	0.0058462303470279559	0.0058053615459850525
15	0.0049244483311686182	0.0048921761580919213
16	0.0044633725628032903	0.004435075175972995
17	0.0035549897921571261	0.0035345445976566209
18	0.0031941391533680356	0.0031765409210530796
19	0.0028201763094447599	0.0028054235053900953
20	0.0023304827233216882	0.0023193135254602755
21	0.0019607168135786909	0.0019520351658170716
22	0.0017589891708377793	0.001751587220146815
23	0.0012165794680861035	0.0012122976232728868
24	0.0013392775026531464	0.0013343517177771198
25	0.00098541349535472911	0.00098227731497483651
26	0.00076153625884667862	0.00075939412327068136
27	0.00067576618766396061	0.00067397290767993263
28	0.00054060986353743736	0.00053932448391297641
29	0.00051672967222497626	0.00051552751837296738
30	0.00043082720566370823	0.00042992039134116312
31	0.00041023265313321305	0.00040939059456219888
32	0.00024908109236102829	0.00024867577948695498
33	0.00024378294630165304	0.00024339338713350671
34	0.00019232315061561188	0.00019204952886156646
35	0.00027015755848432219	0.00026971610069004932
36	0.00020815237881812527	0.00020786103529226596
37	0.00010457950697571288	0.00010447168756544286
38	0.00019420445973332857	0.00019394780435422562
39	7.8402859531470019e-05	7.8332664689275471e-05
40	0.00010200638033759388	0.00010190681248370436
41	0.00012399535589681149	0.0001238729956454631
42	7.2057193901299901e-05	7.1996996619014129e-05
43	7.2217702705590781e-05	7.2159399240400368e-05
44	4.8793197990266914e-05	4.8761251513965568e-05
45	2.1160569544180485e-05	2.1150580894371314e-05
46	5.290004429134743e-05	5.2870930384679665e-05
47	0.00013662746724861291	0.00013649423864074722
48	7.9537650705632302e-05	7.948016802110318e-05
49	0.00016318155839360889	0.00016302749499762145

n = 20
------
Step	NTK metric	Parameter perturbation L2 norm
0	0.021908722926514145	0.021982887651976372
1	0.023755918203040193	0.023806963313786376
2	0.024388508689857195	0.02439803609106983
3	0.0257447671772775	0.025711479551950717
4	0.024158171610198648	0.024083935960068064
5	0.02326909872371985	0.023162251456256271
6	0.020282220575732174	0.020167600325721922
7	0.019251042972793217	0.019117491524449061
8	0.018026939054403224	0.017885404885036153
9	0.016046420646906909	0.015911714029846737
10	0.013688281970640634	0.013572544629162298
11	0.012237978288496792	0.012131958213856604
12	0.010216063257165411	0.010130941551998649
13	0.0089498759197697494	0.0088771943875030589
14	0.0079874219945246933	0.0079224932883241693
15	0.0070752611718046393	0.0070191514407932209
16	0.0060023623434129064	0.0059575888443457754
17	0.0049147624981934548	0.0048809872366558727
18	0.0041859150572567741	0.0041589266602542448
19	0.0033816770558282409	0.0033617938793823222
20	0.0032203893609572473	0.0032014281745199212
21	0.0026121218407052053	0.0025981880788762532
22	0.002215789902680277	0.0022048221517231982
23	0.0018102528206699851	0.0018020931970169241
24	0.0016373457286467021	0.0016302759041355625
25	0.0013726587531700538	0.0013672089578186893
26	0.0010692855632563445	0.0010655157711296397
27	0.00083802811913885004	0.00083541721249273107
28	0.00084966308860644907	0.00084698278374691701
29	0.0005985954504704699	0.00059701318074348547
30	0.00054428663458600066	0.00054290523630515599
31	0.00041894285652947392	0.00041801472258681967
32	0.00046682990800639987	0.00046574609866910051
33	0.00034011565082318684	0.00033944613036127752
34	0.00027108054339292624	0.00027059973539355026
35	0.00020984850734226141	0.00020952088396652618
36	0.00015390362342598699	0.00015369687883551238
37	0.00016560825757071083	0.0001653772542680185
38	0.00011572376162097567	0.00011558958945289046
39	7.817506284266723e-05	7.8101084590897997e-05
40	7.5888409200906411e-05	7.5817428289050786e-05
41	5.8934134702950944e-05	5.8885146128445542e-05
42	3.3373073125430753e-05	3.3353011540677597e-05
43	7.9105616511648274e-05	7.9035826540758299e-05
44	6.9602631349173206e-05	6.9543072635191923e-05
45	3.3344755289348471e-05	3.3323983076979e-05
46	6.0406756212690243e-05	6.0368249521410412e-05
47	3.6298773883145646e-05	3.6277810493136044e-05
48	4.7927315626134255e-05	4.7896443944403263e-05
49	4.0418849288480246e-05	4.0397284120248487e-05

n = 30
---------------------------------------
Step	NTK metric	Parameter perturbation L2 norm
0	0.025896151055694393	0.025942430948832369
